Title,Channel,Duration,URL
"КАРАКАС -  самый ""опасный"" город мира/ВЕНЕСУЭЛА/ разыграли местную девушку в орлянку","ПЛАНЕТКА",46m 41s,https://www.youtube.com/watch?v=-pYz9IE1Uns
"Is pulling out an effective way to prevent pregnancy? Is precum safe?!","Rena Malik, M.D.",3m 17s,https://www.youtube.com/watch?v=qOwdupIlQDM&pp=ugUEEgJlbg%3D%3D
"The Best Bossa Nova Cover 2025 🍒🎧Relax & Unwind Jazz in Summer Mood [ 𝒓𝒆𝒍𝒂𝒙 𝒔𝒖𝒎𝒎𝒆𝒓 𝒋𝒂𝒛𝒛 ]","𝗽𝗮𝗹𝗺 𝗽𝗮𝗹𝗺 𝘁𝘂𝗻𝗲𝘀",3h 11m 58s,https://www.youtube.com/watch?v=6hgFZSM8IRM&list=RD6hgFZSM8IRM&start_radio=1&t=3524s&pp=oAcB
"3,890,000 THB ($113,000) Brand New Apartment in Chiang Mai, Thailand","Farang Homes",17m 37s,https://www.youtube.com/watch?v=cg6mWuIthto&pp=0gcJCcoJAYcqIYzv
"Japanese Women or Singaporean Women? You’ll Be Shocked Who Wins","Professor Nam",16m 24s,https://www.youtube.com/watch?v=Wf6acPNt4EE&pp=0gcJCcoJAYcqIYzv
"🇵🇭 ФИЛИППИНЫ / украли ДЕНЬГИ в первый же день / ТРАНСЫ хватают за ... 🇵🇭","АНАНАСИК",16m 50s,https://www.youtube.com/watch?v=lCzk32AP1wY
"Yiddish Song From the Shtetl","Olga Avigail",2m 44s,https://www.youtube.com/watch?v=M3CjnabPQyg&list=RDM3CjnabPQyg&start_radio=1
"Что было до БОЛЬШОГО ВЗРЫВА? Астрофизик Асташенок про тайны МУЛЬТИВСЕЛЕННОЙ.","Глеб Соломин",55m 43s,https://www.youtube.com/watch?v=TjVQvhEA_JE&pp=ugUEEgJydQ%3D%3D
"This app made over $1M","Starter Story",15m 16s,https://www.youtube.com/watch?v=VfNRd5Rk0cM&pp=ugUHEgVlbi1VUw%3D%3D
"Sabah floods: 2,897 victims sheltering at relief centres","KiniTV",6m 46s,https://www.youtube.com/watch?v=-iWNeXQxqQI
"Poachers nabbed with dead tiger in car","NST Online",1m 2s,https://www.youtube.com/watch?v=qr44EJ7cIGU&pp=0gcJCcoJAYcqIYzv
"Israel won't strike Qatar again, urges US","The Star",2m 51s,https://www.youtube.com/watch?v=9cUtYWhK3pI
"Sabah death toll climbs to 13","The Sun Malaysia",39s,https://www.youtube.com/watch?v=DWeoD0CIsY0
"Zii Jia forced to retire in China Masters opener","NST Online",43s,https://www.youtube.com/watch?v=b7ND_Ulmodo
